First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
Douglas,Male,8/6/1993,12:42 PM,97308,6.945,true,Marketing
Thomas,Male,3/31/1996,6:53 AM,61933,4.17,true,
Maria,Female,4/23/1993,11:17 AM,130590,11.858,false,Finance
Jerry,Male,3/4/2005,1:00 PM,138705,9.34,true,Finance
Larry,Male,1/24/1998,4:47 PM,101004,1.389,true,Client Services
Dennis,Male,4/18/1987,1:35 AM,115163,10.125,false,Legal
Ruby,Female,8/17/1987,4:20 PM,65476,10.012,true,Product
,Female,7/20/2015,10:43 AM,45906,11.598,,Finance
Angela,Female,11/22/2005,6:29 AM,95570,18.523,true,Engineering
Frances,Female,8/8/2002,6:51 AM,139852,7.524,true,Business Development
Louise,Female,8/12/1980,9:01 AM,63241,15.132,true,
Julie,Female,10/26/1997,3:19 PM,102508,12.637,true,Legal
Brandon,Male,12/1/1980,1:08 AM,112807,17.492,true,Human Resources
Gary,Male,1/27/2008,11:40 PM,109831,5.831,false,Sales
Kimberly,Female,1/14/1999,7:13 AM,41426,14.543,true,Finance
Lillian,Female,6/5/2016,6:09 AM,59414,1.256,false,Product
Jeremy,Male,9/21/2010,5:56 AM,90370,7.369,false,Human Resources
Shawn,Male,12/7/1986,7:45 PM,111737,6.414,false,Product
Diana,Female,10/23/1981,10:27 AM,132940,19.082,false,Client Services
Donna,Female,7/22/2010,3:48 AM,81014,1.894,false,Product
Lois,,4/22/1995,7:18 PM,64714,4.934,true,Legal
Matthew,Male,9/5/1995,2:12 AM,100612,13.645,false,Marketing
Joshua,,3/8/2012,1:58 AM,90816,18.816,true,Client Services
,Male,6/14/2012,4:19 PM,125792,5.042,,
